2	2.7498e-07	2.41e-07	9.84e-07
12	5.5071e-07	4.77e-07	9.39e-07
22	1.0287e-06	6.99e-07	5.85e-06
32	1.23009e-06	1.123e-06	2.426e-06
42	2.60065e-06	2.532e-06	5.882e-06
52	5.08183e-06	4.435e-06	2.275e-05
62	9.27579e-06	7.222e-06	2.9381e-05
72	1.54663e-05	1.1387e-05	0.000141281
82	2.88554e-05	1.9901e-05	8.6391e-05
92	3.2072e-05	2.641e-05	0.000130426
102	4.65249e-05	3.796e-05	9.8683e-05
112	5.64282e-05	4.1461e-05	0.000131423
122	8.05122e-05	5.7552e-05	0.000550873
132	8.63792e-05	7.3594e-05	0.00013881
142	0.00014144	9.6638e-05	0.000364883
152	0.000152993	0.000105558	0.00112962
162	0.000130989	0.000121929	0.000269178
172	0.000149281	0.000139016	0.000613202
182	0.000208575	0.000178621	0.000567198
192	0.000206499	0.000193805	0.00045711
202	0.000235659	0.000229158	0.00033877
212	0.000303306	0.000257698	0.000961134
222	0.00032439	0.000305147	0.00105123
232	0.000370962	0.000325139	0.000794405
242	0.000430641	0.000378324	0.00120239
252	0.000481739	0.000422575	0.00141784
262	0.000515087	0.000495187	0.000927949
272	0.000598945	0.00050628	0.00162476
282	0.000651064	0.000592873	0.00120151
292	0.000713691	0.00067027	0.00131908
302	0.000856946	0.000789401	0.00164141
312	0.000848786	0.000769566	0.00207344
322	0.00110746	0.000897987	0.00193598
332	0.0010214	0.000963562	0.00196308
342	0.00113586	0.00107349	0.00238275
352	0.00122658	0.00111874	0.00223898
362	0.00136765	0.00123861	0.00266724
372	0.00143697	0.00133818	0.0026872
382	0.00159941	0.00148831	0.00310666
392	0.00157063	0.001484	0.00326767
402	0.00215069	0.00166922	0.00410005
412	0.0018716	0.00174567	0.00398588
422	0.00209701	0.00195341	0.00489678
432	0.00210691	0.00193658	0.00398588
442	0.00240445	0.00220158	0.00465034
452	0.00247479	0.00234787	0.00543793
462	0.00277188	0.0025013	0.00815599
472	0.0026832	0.00253745	0.00459663
482	0.00301192	0.00278931	0.00550037
492	0.00319684	0.00296111	0.00595732
